"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)",0,0,2.429894e-06,5.486459e-06,4.3625594e-05,1.0903505e-05,0,0,0,0,0,0,1.5065e-05,0,0,0,0,0,0,0,0,0,0,0,9.47662e-06,0,0,0,0,0,0,0,0,0,0,0,9.62496e-05,0,0,0,0,0,0,1.14804e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)",7.76426e-05,3.841247e-05,6.9131344e-05,0.000103883442,0.000153687928,0.000127341822,1.608359e-05,0,0,0,0,0,0.000108742149,4.006112e-05,4.051127e-05,6.23792e-06,0,0,0,0,9.70683e-06,2.978979e-05,3.0774e-06,1.31695e-05,1.258511e-05,0,3.99501e-05,0,0,2.212597e-05,0,0,0,5.3882e-06,0,0,8.74127e-05,7.656793e-05,0,6.88479e-06,0,0,0,7.68633e-06,0,0,1.23436e-05,6.8211e-06,4.54918e-06,0,5.16104e-05,0,1.544094e-05,9.12871e-06,5.76531e-06,0,2.96583e-06,2.114681e-06,1.095572e-05,2.82844e-05
"PWY-7279: aerobic respiration II (cytochrome c) (yeast)",0,2.03147e-06,2.0735747e-05,4.82434e-06,0,8.995437e-05,6.5373e-06,0,0,0,0,0,0,1.33015e-06,0,7.54126e-06,0,0,0,0,0,1.52147e-05,1.91748e-06,1.658102e-06,0,0,0,0,0,1.14539e-06,0,0,0,0,0,0,0,2.28323e-06,0,4.28706e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72026e-06,0,0,0,0,8.47402e-06
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)",0.00025073039,0.000370224287,0.00026468603,0.000333032704,0.000253432115,0.000220638417,0.00015502032,5.093352e-05,0.0001366467,8.25252e-05,8.488493e-05,0.00020886819,0.00023587459,0.000387399019,0.0002130927,6.23373e-05,0,1.98998e-05,0.00024177103,0.0001092055,0.00012872958,0.000115414865,0.00023846448,0.00010123856,8.670801e-05,0,8.583894e-05,2.88981e-05,0,7.157046e-05,8.332001e-05,0,2.576986e-05,0.00039831859,8.18313e-05,0,0.0001413456,0.000155694,1.79676e-05,0.00011502873,7.07135e-05,0.0005498194,2.91098e-05,0.00014151377,0.0002141082,0,0.000116699,0.00014686849,0.00012260997,0,0.0001645417,9.643956e-05,0.00017427855,0.00015187331,7.049238e-05,0,0.0001289963,0.00011722055,0.00015369219,0.0001397861
"PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis",0,0,0,0,0,0,0,3.51593e-05,2.79293e-05,0,7.04073e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46495e-05,0,0,0,0,2.99555e-06,0,0,0,0,2.05938e-05,0,0,0,0
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",0,1.04455e-06,1.524538e-05,3.94334e-05,0,1.977954e-05,3.51642e-06,0,1.14741e-05,0,0,0,0,1.60046e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02323e-06,0,0,1.25251e-05,1.54068e-05,0,0,0,0,0,0,0,1.87323e-05,9.1092e-06,7.118e-06,0
"PWY-7294: xylose degradation IV",0,0,4.354781e-05,6.077736e-05,1.684803e-05,0,3.01279e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.407122e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131762e-05,7.54923e-06,0,0,0,3.00622e-06,3.75832e-06,0,0,0,0,5.26524e-06,0
"PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis",0,0,3.38385e-06,0,0,0,2.188531e-05,0,0,0,0,0,0,0,0,0,0,0,0.0001793119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05133e-05,0,0,0,0,0,4.81168e-05,0,0,0,0,0,0,0.0001285873,7.27909e-06,0,0,0,1.92025e-05,6.96374e-05,0,1.273752e-05,0,7.84597e-06,1.816128e-05,8.25485e-05,1.666813e-05
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis",0.00010080841,0.000135293571,0.0001339695572,0.000206321316,0.000240297892,0.000254520867,5.669942e-05,2.668633e-05,0,1.483453e-05,1.433025e-05,0,0.000225907734,0.000141816474,0.000177482558,0,0,2.819662e-05,0,2.655239e-05,3.26516e-05,6.1290755e-05,1.84169e-06,6.4302508e-05,2.9863054e-05,0,8.852564e-05,0,0,2.837921e-05,8.1896e-06,0,2.189772e-05,0,2.12797e-05,2.495617e-05,8.066393e-05,0.0001529533,0,2.565485e-05,0,1.179362e-05,8.67248e-06,2.5286134e-05,0,0,8.85173e-06,2.11117e-06,3.93301e-05,0,5.0154e-05,7.91467e-06,1.315474e-05,1.38242e-05,9.23445e-06,0,9.26704e-06,1.898658e-05,2.342062e-05,3.87827e-05
"PWY-7316: dTDP-N-acetylviosamine biosynthesis",0,0,3.39907e-06,1.786878e-05,0,0,0,0,0,1.95933e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.979353e-05,0,0,5.1882e-06,0,0,1.498091e-05,0,0,2.50409e-05,0,0,0,0,0,2.670734e-05,0,9.672994e-05,3.88448e-05,0,6.58702e-06,0,3.11654e-05,2.23281e-05,0,1.440759e-05,5.68605e-05,4.64682e-05,2.70023e-05,0
